Id,Predicted
190,MR. BEALL WILL ANNOUNCE AS HE SOUGHT THE ACCOUNTING CHANGES BECAUSE WITHOUT THEM IT WAS CLEAR THAT SOONER OR LATER WE DON'T NEED TO EXPERIMENT
191,HE ACKNOWLEDGES DISCUSSING THE POTENTIAL OF SPEEDING UP LOSSES BUT DENIED MAKING ANY THREAT
192,HOWEVER THE OTHER OFFICIALS CHARACTERIZE HIS MESSAGE HAS LED TO STRIKES AND PHONY BELOW THE ACCOUNTING OR WE CAN CAUSE SKIN
193,MR. SIMMONS COULDN'T IMMEDIATELY BE REACHED FOR COMMENT
194,BUT HE SAID IN AN INTERVIEW LAST WEEK THAT HE COULD RAISE FIVE HUNDRED MILLION DOLLARS PRETTY FAST TO PURSUE AN ACQUISITION
195,IN RECENT YEARS HE HAS INVESTED AND G. A. F. CORPORATION AND THE LOUISIANA LAND AND EXPLORATION COMPANY AMONG OTHERS WITHOUT BIDDING TO ACQUIRE THEM
196,AT HOME THE PERMANENT SECRETARY OF THE MINISTRY OF COMMUNICATIONS AND INFORMATION HAS BEEN USED UP THE AMERICAN BUSINESS COUNCIL
197,ANOTHER SPOKESMAN FOR THE MINISTRY HAS REPLIED TO THE FOREIGN CORRESPONDENTS ASSOCIATION OF SOUTHEAST ASIA
198,AND THE PRESS SECRETARY TO THE MINISTER OF COMMUNICATIONS AND INFORMATION HAS RESPONDED TO NUMEROUS CRITICISMS
199,NOBODY KNOWS HOW THE SOUTH AFRICAN GOVERNMENT WILL REACT
200,THIS ISN'T THE TIME TO TAKE THAT CHANCE AND ASKED THE MOMENT SAYS MR. TEMPLE BARKER AND WHO ADDS THAT HIS HOME PHONE HUSBAND
201,MEANTIME MORE DEPARTURES ULTIMATELY FEARS THAT THE OPPORTUNITY IS FADING
202,HIGHER INTEREST RATES OF COURSE COULD BE OFFSET BY HIGHER INFLATION
203,THAT'S MORE OR LESS WHAT THE BLUE CHIP ECONOMISTS EXPECT
204,BUT THE FEDERAL RESERVE AND MR. GREENSPAN ARE LIKELY TO BE WORKING HARD TO KEEP INFLATION DOWN
205,THE NEW CHAIRMAN NOTED THAT HIS POLITICAL CONNECTIONS MAKE SOME MARKET PARTICIPANTS SUSPICIOUS THAT HE WILL TRY TO STIMULATE THE ECONOMY TO HELP G. O. P. CANDIDATES NEXT YEAR
206,MITCHELL HELD AN ECONOMIST AT SMITH BARNEY HARRIS UPHAM AND COMPANY SAYS IT THINKS MR. GREENSPAN WANTS TO ESTABLISH HIS CREDENTIALS AS AN INFLATION FIGHTER
207,AS SIGNS OF A STRONGER ECONOMY TO MERGE HE ADDS THE LONG TERM RATES ARE LIKELY TO DRIFT HIGHER
208,SHORT TERM RATES HE SAYS ARE LIKELY TO REMAIN STEADY OR DILUTED SOMEWHAT HIGHER
209,UNDER TERMS OF PREVIOUSLY REPORTED THE ITALIAN AGRICULTURAL CONCERN ASSUMED ABOUT ONE HUNDRED NINETY FIVE MILLION DOLLARS IN SUBORDINATED DEBT AS PART OF THE TRANSACTION
210,SHAMROCK SAID PRETAX PROFIT FROM THE SALE WAS ONE HUNDRED TWENTY FIVE MILLION DOLLARS A SPOKESWOMAN SAID
211,SHAMROCK HAS INTERESTS IN TELEVISION AND RADIO STATIONS ENERGY SERVICES REAL ESTATE AND VENTURE CAPITAL
212,IN ANY CASE THERE ARE PROBLEMS WITH THE SMOOTH TRANSITION THESIS
213,FOR ONE THING THAT CONSUMERS MAY NOT BE QUITE READY TO QUIT SPENDING
214,THERE ARE INDICATIONS THAT SALES ARE SLOWING DOWN BUT CONSUMER CREDIT SURGED UPWARD IN DECEMBER
215,IF IT DOESN'T WANT SAYING IT'S ANOTHER
216,I'VE SEEN BY THE PAPERS THAT PEOPLE ARE WORRIED ABOUT THE COMING BUDGET SURPLUS
217,THE WORRY IS PART OF A NEW CLIENTS
218,ONE IS THAT WE WILL HAVE THE SURPLUS BUT SHOULDN'T
219,THE OTHER IS THAT WE SHOULD HAVE THE SURPLUS BUT WON'T
220,YET EVEN THAT EIGHTY SIX HE HAS CONSIDERED THE COUNTRY'S MOST DYNAMIC POLITICAL FIGURE
221,HE'S THE ONLY GUY WHO COULD SHOW UP IN THE PLAZA AND DRAW A CROWD OF SEVENTY FIVE THOUSAND PEOPLE SAYS ONE LATIN DIPLOMATS
222,MR. SEIDMAN TO THE OPPOSITION BUSINESSMAN SAYS ARNOLD FOR ISN'T THE SOLUTION BUT THERE ISN'T ANY SOLUTION WITHOUT ARE NEUTRAL
223,AT FORTY YEARS OLD MR. WHITE IS RELATIVELY YOUNG FOR HIS JOB AND THAT UPSET COLLEAGUES WHO ARE USED TO A GRADUAL ITS PROMOTION SYSTEM BASED ON SENIORITY
224,SO MR. WHITE SALESPEOPLE HE HAS A FIFTY
225,HIS M. B. A. ALSO ARE SOME COLLEAGUES WHO ARE CONTENT TO LIST OF FOREIGN CONCEPT ESPECIALLY THOSE THAT MAKE THEM WORK HARDER
226,THE COST OF ANIMALS USED IN RESEARCH REPRESENTS ONLY ONE PERCENT TO TWO PERCENT OF TOTAL COSTS
227,SO INCREASING THE COST OF ANIMALS WOULD NOT AFFECT THE BILL FOR ANIMAL RESEARCH SIGNIFICANTLY
228,HOWEVER INCREASING THE COST OF RESEARCH ANIMALS SHOULD MOTIVATE RESEARCHER IS NOT TO WASTE THE MOMENT MERELY CURIOUS MORE COMPETITIVE STUDIES
229,IF SO THEN INCREASING THE COST OF RESEARCH ANIMALS SHOULD ACTUALLY REDUCED THE BILL THE PUBLIC PAYS FOR ANIMAL RESEARCH
230,MCDERMOTT AND AN ADDITIONAL TEN DIFFERENT SEGMENTS OF THE OIL SERVICES BUSINESS
231,AND ANALYSTS SERVICES WELL AS ONCE THEY WERE DRILLED WILL MAKE GOVERNMENT BUILDS OFFSHORE DRILLING RIGS
232,BUT BOTH COMPANIES SHOULD BENEFIT FROM AN UPTURN IN THE OIL AND NATURAL GAS BUSINESS
233,THRIFTS INTO WARRANTS
234,ASSETS MINUS LIABILITIES EXPRESSED AS A PERCENTAGE OF TOTAL LIABILITIES
235,THE NATIONAL AVERAGE WAS FOUR POINT SIX THREE PERCENT IN DECEMBER NINETEEN EIGHTY SIX
236,THE THRIFTS MUST MAINTAIN A LEVEL OF NETWORK WITH THAT IS AT LEAST THREE PERCENT OF THEIR LIABILITIES
237,NEW FEDERAL RULES REQUIRE THRIFTS TO GRADUALLY RAISE THAT LEVEL DEPENDING ON THE PROFITABILITY OF THE INDUSTRY
238,THE PROBLEM IS THAT PAN AM'S UNIONS HAVE LOST CONFIDENCE IN MR. ACKERMAN AND CONTINUED TO INSIST THAT THEY WON'T MAKE CONCESSIONS IN LAST YEAR'S REPLACED
239,PAN AM IS CLEARLY A BANKING AREN'T GETTING MOST CONCESSIONS THIS YEAR AND EXECUTIVE AT ANOTHER AIRLINE SAYS
240,BUT BANKERS CREDIBILITY HAS BEEN RELATED TO THE POINT IS THAT IF THE PLAN AND DIRECTORS DON'T GET RID OF ACCURATE THEY WON'T GET THOSE CONCESSIONS
241,THE WORKING PAPERS ARE OPTIONS FOR TAXING EMPLOYEE BENEFITS INCLUDED LIMITING THE EXCLUSION OF EMPLOYER PROVIDED HEALTH INSURANCE AND CAFETERIA PLAN AND BENEFITS
242,IT HAD SOME OF THE OLD BECAUSE IT WOULD RAISE THIRTY SEVEN POINT NINE BILLION DOLLARS OVER THREE YEARS
243,WE'D LIKE TO SEE SOMETHING THAT LEAVES THE REAL DEMOCRACY IT SAYS JOHN D. BARR NEW YORK BY SECRETARY GENERAL OF THE INDEPENDENT LIBERAL PARTY
244,UNFORTUNATELY WE ARE SEEING NOTHING AND RESTAURANTS
245,AND THEY MAY BE ABLE TO GET AWAY WITH A LOT MORE OF THESE PUBLICITY MANEUVERS WITHOUT GIVING UP MUCH REAL GROUNDS
246,NAKASONE SELECTED AND A BARREL TAKESHITA TO SUCCEED HIM AS JAPAN'S PREMIER
247,THE STRIKES BY NAKASONE CAME AFTER THE FORMER FINANCE MINISTER AND HIS TWO RIVALS WERE DEADLOCKED OVER WHO SHOULD BE NAMED PRESIDENT OF THE RULING LIBERAL DEMOCRATIC PARTY
248,BECAUSE THE CONSERVATIVE PARTY CONTROLS THE PARLIAMENT THE WINNER OF THE TOP PARTY POST ALSO BECOMES A PRIME MINISTER
249,ALTHOUGH JAPAN'S POLICIES WON'T CHANGE RADICALLY AND THAT MARKETS HUNDRED SIXTY THREE AND HIS LACK OF FOREIGN POLICY EXPERIENCE COULD WORSEN THE PARENT'S INTERNATIONAL RELATIONS
250,THE RECALL EXPANDS ON THE WITHDRAWAL OF OTHER MODELS BEGAN EARLIER THIS WEEK
251,A SPOKESMAN FOR THE NUCLEAR REGULATORY COMMISSION SAID THREE DOWN DECIDED TO RECALL AN ADDITIONAL MODELS OF ITS AIRLINE ADVISERS AFTER RADIATION LEAKS WERE DISCOVERED THAT FOR FACILITIES USING THOSE MODELS
252,THE EXPANDED RECALL WAS DISCLOSED AT A MEETING WITH N. R. C. OFFICIALS AND AN AGENCY OFFICES OUTSIDE CHICAGO
253,MARKET REACTION WAS ESSENTIALLY DIGEST AND WEDNESDAY'S RALLY
254,THE NASDAQ COMPOSITE INDEX OF FOUR THOUSAND SIX HUNDRED THIRTY EIGHT STOCKS CLOSED AT THREE HUNDRED SEVENTY FOUR POINT SIX FIVE BID DOWN ZERO POINT ONE SIX
255,BUT SCORES OF SMALLER STOCKS ROSE AND SEVERAL OF THE BIGGER THE NATIONAL MARKET SYSTEM ISSUES MANAGED GAINS AS WELL BECAUSE OF ITS KIND WORDS FROM AN ANALYST
256,NOT REALLY DEFINED BUT THERE ARE A DOZEN OR SO ASSET ALLOCATION FUNDS
257,ALTHOUGH MOST OF THOSE HAVE BEEN WEAK PERFORMERS THIS YEAR THAT HASN'T STOPPED OTHERS FROM TRYING TO CASH IN ON THE TERMS OF NEW CLASS A SHARE
258,CREATING THE NUCLEAR FREE ZONE IS PARTLY A LOCAL DECISION TO SET THE SCENE OF THE GOVERNMENT IN CERTAIN GEOGRAPHIC AREA DECIDED TO BAN NUCLEAR WEAPONS FROM THAT AREA
259,THEY CAN ALSO INVOLVE INTERNATIONAL COOPERATION IN THE GOLD OFTEN IS TO GET FOREIGN STATES WITH NUCLEAR ARSENALS TO PLACE ORDERS NOT TO USE NUCLEAR WEAPONS AGAINST HIS OWN
260,IN ADDITION NUCLEAR FREE ZONE IS OFTEN INCLUDE ARRANGEMENTS THAT REQUIRE AN UGLY OR WEAPONS DEPLOYED ADJACENT TO THE ISLANDS ON LAND FORESTS THE PEOPLE'S BANK
261,THE YIELD MANAGEMENT ISN'T ALL BAD FOR CONSUMERS
262,HOTELS AND USED THE TECHNOLOGY TO PREDICT WHEN THE BUSINESS WILL BE UNUSUALLY SLOW AND THAT ONE MORE DISCOUNTING ELIMINATED
263,AND SOME CHANGES SUCH AS HOLIDAY CORPORATION'S SHERATON CORPORATION AND HIRED HOTELS CORPORATION TO INSIST THAT THEY WILL MAKE PLENTY OF ROOMS AVAILABLE AND BARGAIN RATES
264,THE FULL YEAR AND THE GREEN OR BASICS CARD WILL JUMP TO FIFTY FIVE DOLLARS
265,IT WAS LAST RAISED IN JUNE NINETEEN EIGHTY FIVE TO FORTY FIVE DOLLARS FROM THIRTY FIVE DOLLARS
266,THE GOLD CARD WHICH INCLUDES A FEW ADDITIONAL SERVICES WILL NOT COST AND SEVENTY FIVE DOLLARS A YEAR
267,THE GOLD CARD FEES WAS LAST INCREASED IN SEPTEMBER NINETEEN EIGHTY FOUR TO SIXTY FIVE DOLLARS FROM FIFTY DOLLARS
